real_salary,predicted_salary,residuals,season,position,team
4320000,3271551.4442851245,1048448.5557148755,2001,Shooting Guard,Seattle SuperSonics
4286000,3587494.6055436432,698505.3944563568,2001,Center,Boston Celtics
4250000,3397928.708788514,852071.2912114859,2001,Point Guard,Cleveland Cavaliers
4250000,3397928.708788514,852071.2912114859,2001,Point Guard,Dallas Mavericks
4200000,3587494.6055436432,612505.3944563568,2001,Center,Milwaukee Bucks
4000000,3587494.6055436432,412505.39445635676,2001,Center,Chicago Bulls
4000000,3587494.6055436432,412505.39445635676,2001,Center,Miami Heat
4000000,3334740.0765368342,665259.9234631658,2001,Power Forward,Detroit Pistons
4000000,3461117.341040224,538882.6589597762,2001,Guard,Miami Heat
3997000,3334740.0765368342,662259.9234631658,2001,Power Forward,Toronto Raptors
3937000,3524305.9732919335,412694.02670806646,2001,Forward,Miami Heat
3922000,3587494.6055436432,334505.39445635676,2001,Center,Washington Wizards
3922000,3271551.4442851245,650448.5557148755,2001,Shooting Guard,Houston Rockets
3922000,3587494.6055436432,334505.39445635676,2001,Center,Sacramento Kings
3920000,3334740.0765368342,585259.9234631658,2001,Power Forward,Seattle SuperSonics
3892000,3334740.0765368342,557259.9234631658,2001,Power Forward,Boston Celtics
3780000,3271551.4442851245,508448.55571487546,2001,Shooting Guard,Denver Nuggets
3700000,3397928.708788514,302071.29121148586,2001,Point Guard,Detroit Pistons
3697000,3587494.6055436432,109505.39445635676,2001,Center,Los Angeles Clippers
3680000,3334740.0765368342,345259.92346316576,2001,Power Forward,New York Knicks
3629000,3334740.0765368342,294259.92346316576,2001,Power Forward,Chicago Bulls
3578000,3587494.6055436432,-9494.605543643236,2001,Center,Golden State Warriors
3565000,3397928.708788514,167071.29121148586,2001,Point Guard,Toronto Raptors
3536000,3334740.0765368342,201259.92346316576,2001,Power Forward,New Jersey Nets
3520000,3334740.0765368342,185259.92346316576,2001,Power Forward,Toronto Raptors
3510000,3524305.9732919335,-14305.973291933537,2001,Forward,Los Angeles Clippers
